ds,y,,,
08-07-2015,1297.550049,,,
09-07-2015,1261.25,,,
10-07-2015,1237.175049,,,
13-07-2015,1254.775024,,,
14-07-2015,1249.75,,,
15-07-2015,1272.875,,,
16-07-2015,1270.099976,,,
17-07-2015,1282.199951,,,
20-07-2015,1289.574951,,,
21-07-2015,1280.699951,,,
22-07-2015,1264.025024,,,
23-07-2015,1244.300049,,,
24-07-2015,1252.574951,,,
27-07-2015,1248.525024,,,
28-07-2015,1251.025024,,,
29-07-2015,1253.375,,,
30-07-2015,1240.324951,,,
31-07-2015,1255.375,,,
03-08-2015,1254.800049,,,
04-08-2015,1254.449951,,,
05-08-2015,1273.574951,,,
06-08-2015,1286.650024,,,
07-08-2015,1276.025024,,,
10-08-2015,1286.050049,,,
11-08-2015,1302.099976,,,
12-08-2015,1335.849976,,,
13-08-2015,1317.800049,,,
14-08-2015,1351.599976,,,
17-08-2015,1342.375,,,
18-08-2015,1370.449951,,,
19-08-2015,1366.800049,,,
20-08-2015,1343.425049,,,
21-08-2015,1338.074951,,,
24-08-2015,1289.324951,,,
25-08-2015,1283.574951,,,
26-08-2015,1288.375,,,
27-08-2015,1287.324951,,,
28-08-2015,1285.425049,,,
31-08-2015,1282.025024,,,
01-09-2015,1268.699951,,,
02-09-2015,1295.900024,,,
03-09-2015,1302.800049,,,
04-09-2015,1273.724976,,,
07-09-2015,1269.875,,,
08-09-2015,1270.150024,,,
09-09-2015,1274.875,,,
10-09-2015,1272.699951,,,
11-09-2015,1276,,,
14-09-2015,1275.824951,,,
15-09-2015,1268.625,,,
16-09-2015,1275.175049,,,
18-09-2015,1275.625,,,
21-09-2015,1275.525024,,,
22-09-2015,1263.400024,,,
23-09-2015,1266.324951,,,
24-09-2015,1290.199951,,,
28-09-2015,1296.849976,,,
29-09-2015,1294.125,,,
30-09-2015,1294.025024,,,
01-10-2015,1322.300049,,,
05-10-2015,1355.824951,,,
06-10-2015,1350,,,
07-10-2015,1326.974976,,,
08-10-2015,1316.900024,,,
09-10-2015,1314.824951,,,
12-10-2015,1296.300049,,,
13-10-2015,1299.275024,,,
14-10-2015,1241.849976,,,
15-10-2015,1233.875,,,
16-10-2015,1236,,,
19-10-2015,1244.375,,,
20-10-2015,1263.375,,,
21-10-2015,1265,,,
23-10-2015,1268.574951,,,
26-10-2015,1268.275024,,,
27-10-2015,1265.550049,,,
28-10-2015,1264.550049,,,
29-10-2015,1247.675049,,,
30-10-2015,1247.599976,,,
02-11-2015,1258.675049,,,
03-11-2015,1271.724976,,,
04-11-2015,1266.900024,,,
05-11-2015,1241.324951,,,
06-11-2015,1252.875,,,
09-11-2015,1235.675049,,,
10-11-2015,1229.074951,,,
13-11-2015,1198.699951,,,
16-11-2015,1187.300049,,,
17-11-2015,1195.275024,,,
18-11-2015,1175.724976,,,
19-11-2015,1181.275024,,,
20-11-2015,1199.175049,,,
23-11-2015,1195.525024,,,
24-11-2015,1183.974976,,,
26-11-2015,1172.775024,,,
27-11-2015,1176.675049,,,
30-11-2015,1186.775024,,,
01-12-2015,1180.949951,,,
02-12-2015,1182.599976,,,
03-12-2015,1175.375,,,
04-12-2015,1164.199951,,,
07-12-2015,1159.900024,,,
08-12-2015,1164.5,,,
09-12-2015,1183.824951,,,
10-12-2015,1192.275024,,,
11-12-2015,1193,,,
14-12-2015,1189.224976,,,
15-12-2015,1187.925049,,,
16-12-2015,1204.199951,,,
17-12-2015,1219.875,,,
18-12-2015,1208.400024,,,
21-12-2015,1223.199951,,,
22-12-2015,1202.525024,,,
23-12-2015,1212.900024,,,
24-12-2015,1217.125,,,
28-12-2015,1231.349976,,,
29-12-2015,1227.900024,,,
30-12-2015,1209.150024,,,
31-12-2015,1218.425049,,,
01-01-2016,1208.199951,,,
04-01-2016,1184.800049,,,
05-01-2016,1174.474976,,,
06-01-2016,1190.800049,,,
07-01-2016,1185.625,,,
08-01-2016,1198.800049,,,
11-01-2016,1181.175049,,,
12-01-2016,1163.525024,,,
13-01-2016,1139.599976,,,
14-01-2016,1139.400024,,,
15-01-2016,1130.550049,,,
18-01-2016,1138.824951,,,
19-01-2016,1139.650024,,,
20-01-2016,1140.050049,,,
21-01-2016,1127.25,,,
22-01-2016,1147.875,,,
25-01-2016,1152.324951,,,
27-01-2016,1159.875,,,
28-01-2016,1165.599976,,,
29-01-2016,1195.650024,,,
01-02-2016,1201.349976,,,
02-02-2016,1199.050049,,,
03-02-2016,1208.150024,,,
04-02-2016,1210.025024,,,
05-02-2016,1210.974976,,,
08-02-2016,1181.474976,,,
09-02-2016,1140.699951,,,
10-02-2016,1134.400024,,,
11-02-2016,1098.974976,,,
12-02-2016,1113.300049,,,
15-02-2016,1134.574951,,,
16-02-2016,1132.775024,,,
17-02-2016,1137.775024,,,
18-02-2016,1157.925049,,,
19-02-2016,1159.824951,,,
22-02-2016,1157.949951,,,
23-02-2016,1132,,,
24-02-2016,1105.474976,,,
25-02-2016,1106.425049,,,
26-02-2016,1105.25,,,
29-02-2016,1088.400024,,,
01-03-2016,1138.324951,,,
02-03-2016,1159.425049,,,
03-03-2016,1186.574951,,,
04-03-2016,1178.775024,,,
08-03-2016,1177.150024,,,
09-03-2016,1178.625,,,
10-03-2016,1174.150024,,,
11-03-2016,1182.625,,,
14-03-2016,1177.5,,,
15-03-2016,1164.949951,,,
16-03-2016,1163.525024,,,
17-03-2016,1176.025024,,,
18-03-2016,1212.925049,,,
21-03-2016,1223.125,,,
22-03-2016,1236.550049,,,
23-03-2016,1236.900024,,,
28-03-2016,1236.699951,,,
29-03-2016,1234.699951,,,
30-03-2016,1244.75,,,
31-03-2016,1260.150024,,,
01-04-2016,1226.949951,,,
04-04-2016,1235.625,,,
05-04-2016,1231.375,,,
06-04-2016,1240.949951,,,
07-04-2016,1235.400024,,,
08-04-2016,1216.025024,,,
11-04-2016,1253.324951,,,
12-04-2016,1259.074951,,,
13-04-2016,1263.099976,,,
18-04-2016,1259.875,,,
20-04-2016,1225.175049,,,
21-04-2016,1212.199951,,,
22-04-2016,1208.525024,,,
25-04-2016,1225.625,,,
26-04-2016,1244.900024,,,
27-04-2016,1255.550049,,,
28-04-2016,1263.875,,,
29-04-2016,1267.75,,,
02-05-2016,1263.349976,,,
03-05-2016,1239.050049,,,
04-05-2016,1239,,,
05-05-2016,1235.150024,,,
06-05-2016,1236.699951,,,
09-05-2016,1256.275024,,,
10-05-2016,1261.449951,,,
11-05-2016,1259.150024,,,
12-05-2016,1283.099976,,,
13-05-2016,1261.699951,,,
16-05-2016,1275.574951,,,
17-05-2016,1285.099976,,,
18-05-2016,1275.550049,,,
19-05-2016,1278.474976,,,
20-05-2016,1264.650024,,,
23-05-2016,1245.724976,,,
24-05-2016,1233.849976,,,
25-05-2016,1263.224976,,,
26-05-2016,1274.349976,,,
27-05-2016,1286.324951,,,
30-05-2016,1318.199951,,,
31-05-2016,1284.699951,,,
01-06-2016,1316.775024,,,
02-06-2016,1325.074951,,,
03-06-2016,1314.775024,,,
06-06-2016,1306.25,,,
07-06-2016,1315.574951,,,
08-06-2016,1306.550049,,,
09-06-2016,1288.625,,,
10-06-2016,1277.875,,,
13-06-2016,1273.5,,,
14-06-2016,1267.425049,,,
15-06-2016,1278.425049,,,
16-06-2016,1279.150024,,,
17-06-2016,1301.300049,,,
20-06-2016,1329.650024,,,
21-06-2016,1325.599976,,,
22-06-2016,1333.824951,,,
23-06-2016,1322.675049,,,
24-06-2016,1286.974976,,,
27-06-2016,1247.925049,,,
28-06-2016,1231.974976,,,
29-06-2016,1251.449951,,,
30-06-2016,1276.550049,,,
01-07-2016,1250.425049,,,
04-07-2016,1247.099976,,,
05-07-2016,1242.650024,,,
07-07-2016,1214.900024,,,
08-07-2016,1213.300049,,,
11-07-2016,1232.074951,,,
12-07-2016,1232.474976,,,
13-07-2016,1246.550049,,,
14-07-2016,1260.949951,,,
15-07-2016,1222.675049,,,
18-07-2016,1216.724976,,,
19-07-2016,1233.099976,,,
20-07-2016,1247.474976,,,
21-07-2016,1253.025024,,,
22-07-2016,1257.550049,,,
25-07-2016,1279.474976,,,
26-07-2016,1276.300049,,,
27-07-2016,1288.775024,,,
28-07-2016,1309.625,,,
29-07-2016,1309.650024,,,
01-08-2016,1354.125,,,
02-08-2016,1349.599976,,,
03-08-2016,1328.150024,,,
04-08-2016,1326,,,
05-08-2016,1324.550049,,,
08-08-2016,1324.75,,,
09-08-2016,1325.099976,,,
10-08-2016,1337.699951,,,
11-08-2016,1354.949951,,,
12-08-2016,1369.224976,,,
16-08-2016,1345.849976,,,
17-08-2016,1312.275024,,,
18-08-2016,1319.275024,,,
19-08-2016,1301.75,,,
22-08-2016,1274.349976,,,
23-08-2016,1300.525024,,,
24-08-2016,1286.025024,,,
25-08-2016,1275.525024,,,
26-08-2016,1262.474976,,,
29-08-2016,1250.275024,,,
30-08-2016,1272.074951,,,
31-08-2016,1255.650024,,,
01-09-2016,1253.75,,,
02-09-2016,1257.400024,,,
06-09-2016,1242.025024,,,
07-09-2016,1220.275024,,,
08-09-2016,1161.050049,,,
09-09-2016,1176.224976,,,
12-09-2016,1179.525024,,,
14-09-2016,1164.224976,,,
15-09-2016,1163.474976,,,
16-09-2016,1180.849976,,,
19-09-2016,1205.724976,,,
20-09-2016,1203.25,,,
21-09-2016,1206.699951,,,
22-09-2016,1189,,,
23-09-2016,1199.050049,,,
26-09-2016,1200.550049,,,
27-09-2016,1218.050049,,,
28-09-2016,1211.525024,,,
29-09-2016,1218.900024,,,
30-09-2016,1215.400024,,,
03-10-2016,1205.849976,,,
04-10-2016,1202.574951,,,
05-10-2016,1193.175049,,,
06-10-2016,1194.375,,,
07-10-2016,1183.900024,,,
10-10-2016,1190.150024,,,
13-10-2016,1164.449951,,,
14-10-2016,1183.099976,,,
17-10-2016,1181.224976,,,
18-10-2016,1200.099976,,,
19-10-2016,1197.550049,,,
20-10-2016,1200.574951,,,
21-10-2016,1214.324951,,,
24-10-2016,1213.849976,,,
25-10-2016,1199.224976,,,
26-10-2016,1198.125,,,
27-10-2016,1209.050049,,,
28-10-2016,1199.349976,,,
01-11-2016,1175,,,
02-11-2016,1152.025024,,,
03-11-2016,1159.724976,,,
04-11-2016,1165.275024,,,
07-11-2016,1138.525024,,,
08-11-2016,1141.599976,,,
09-11-2016,1084.925049,,,
10-11-2016,1077.724976,,,
11-11-2016,1050.574951,,,
15-11-2016,1060.650024,,,
16-11-2016,1094.800049,,,
17-11-2016,1068.599976,,,
18-11-2016,1062.550049,,,
21-11-2016,1066.449951,,,
22-11-2016,1067.5,,,
23-11-2016,1078.175049,,,
24-11-2016,1094.224976,,,
25-11-2016,1150.175049,,,
28-11-2016,1141.300049,,,
29-11-2016,1129.925049,,,
30-11-2016,1138.025024,,,
01-12-2016,1131.724976,,,
02-12-2016,1110.925049,,,
05-12-2016,1093,,,
06-12-2016,1091.175049,,,
07-12-2016,1077.275024,,,
08-12-2016,1097.875,,,
09-12-2016,1097.625,,,
12-12-2016,1104.099976,,,
13-12-2016,1100.150024,,,
14-12-2016,1103.800049,,,
15-12-2016,1129.650024,,,
16-12-2016,1141.324951,,,
19-12-2016,1144.449951,,,
20-12-2016,1169.650024,,,
21-12-2016,1156.800049,,,
22-12-2016,1153.849976,,,
23-12-2016,1144.050049,,,
26-12-2016,1146.550049,,,
27-12-2016,1161.699951,,,
28-12-2016,1156.699951,,,
29-12-2016,1175.849976,,,
30-12-2016,1182.775024,,,
02-01-2017,1180.675049,,,
03-01-2017,1184.125,,,
04-01-2017,1189.75,,,
05-01-2017,1167.199951,,,
06-01-2017,1140.699951,,,
09-01-2017,1151.849976,,,
10-01-2017,1157.675049,,,
11-01-2017,1162.199951,,,
12-01-2017,1172.175049,,,
13-01-2017,1124.650024,,,
16-01-2017,1129.275024,,,
17-01-2017,1139.375,,,
18-01-2017,1147.550049,,,
19-01-2017,1145.5,,,
20-01-2017,1142.675049,,,
23-01-2017,1153.349976,,,
24-01-2017,1159.175049,,,
25-01-2017,1176.5,,,
27-01-2017,1178.900024,,,
30-01-2017,1166.449951,,,
31-01-2017,1114.900024,,,
01-02-2017,1083.949951,,,
02-02-2017,1103.824951,,,
03-02-2017,1116.275024,,,
06-02-2017,1120.375,,,
07-02-2017,1122.300049,,,
08-02-2017,1135.474976,,,
09-02-2017,1158.650024,,,
10-02-2017,1198.974976,,,
13-02-2017,1207.125,,,
14-02-2017,1203.125,,,
15-02-2017,1206.849976,,,
16-02-2017,1223.875,,,
17-02-2017,1203.949951,,,
20-02-2017,1251.099976,,,
21-02-2017,1232.675049,,,
22-02-2017,1205.75,,,
23-02-2017,1240.900024,,,
27-02-2017,1244.925049,,,
28-02-2017,1233.125,,,
01-03-2017,1239.775024,,,
02-03-2017,1250.724976,,,
03-03-2017,1247.025024,,,
06-03-2017,1236.25,,,
07-03-2017,1249.900024,,,
08-03-2017,1256.099976,,,
09-03-2017,1259.875,,,
